Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2019-07-01 01:11:23,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-07-01T05:11:23.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2019-06-01 01:09:37,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-06-01T05:09:37.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2019-05-01 01:14:16,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-05-01T05:14:16.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2019-04-01 01:17:15,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-04-01T05:17:15.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2019-03-01 00:16:37,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-03-01T05:16:37.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2019-02-01 00:19:34,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-02-01T05:19:34.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2019-01-01 00:18:21,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-01-01T05:18:21.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-12-01 00:21:38,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-12-01T05:21:38.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-11-01 01:24:15,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-11-01T05:24:15.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-10-01 01:17:58,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-10-01T05:17:58.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-09-01 01:18:31,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-09-01T05:18:31.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-08-01 01:14:40,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-08-01T05:14:40.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-07-01 01:12:44,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-07-01T05:12:44.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-06-01 01:13:53,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-06-01T05:13:53.000Z"
"Monthly donation to dolibarr (backer)","OSCSS SHOP","http://opencollective.com/oscss",2018-05-31 13:53:09,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2018-05-31T17:53:09.000Z"
