Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2019-07-01 01:05:45,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-07-01T05:05:45.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2019-06-01 01:04:35,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-06-01T05:04:35.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2019-05-01 01:06:42,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-05-01T05:06:42.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2019-04-01 01:08:28,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-04-01T05:08:28.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2019-03-01 00:08:07,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-03-01T05:08:07.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2019-02-01 00:09:36,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-02-01T05:09:36.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2019-01-01 00:09:05,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-01-01T05:09:05.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2018-12-01 00:10:55,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-12-01T05:10:55.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2018-11-01 01:11:22,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-11-01T05:11:22.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2018-10-01 01:07:26,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-10-01T05:07:26.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2018-09-01 01:05:27,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-09-01T05:05:27.000Z"
"Monthly donation to DPlayer (Backer)","c4story","http://opencollective.com/c4story",2018-08-23 02:17:22,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-08-23T06:17:22.000Z"
