Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"host fees June","OSC","http://opencollective.com/osc",2019-07-01 19:11:50,"USD","USD",-11751.39,0.00,0.00,0.00,-11751.39,"one time","2019-07-01T23:11:50.000Z"
"May host fees","OSC","http://opencollective.com/osc",2019-06-02 21:54:44,"USD","USD",-12880.37,0.00,0.00,0.00,-12880.37,"one time","2019-06-03T01:54:44.000Z"
"host fees April","OSC","http://opencollective.com/osc",2019-05-01 21:32:31,"USD","USD",-10285.63,0.00,0.00,0.00,-10285.63,"one time","2019-05-02T01:32:31.000Z"
"Host fees March","OSC","http://opencollective.com/osc",2019-04-03 21:40:24,"USD","USD",-14423.54,0.00,0.00,0.00,-14423.54,"one time","2019-04-04T01:40:24.000Z"
"Host fees Feb","OSC","http://opencollective.com/osc",2019-03-10 20:15:05,"USD","USD",-11708.95,0.00,0.00,0.00,-11708.95,"one time","2019-03-11T00:15:05.000Z"
"January host fees","OSC","http://opencollective.com/osc",2019-02-12 22:05:18,"USD","USD",-27504.52,0.00,0.00,0.00,-27504.52,"one time","2019-02-13T03:05:18.000Z"
"Donation to InstaPy","InstaPy","http://opencollective.com/instapy",2019-02-05 10:45:56,"USD","USD",-2.83,0.00,0.00,0.00,-2.83,"one time","2019-02-05T15:45:56.000Z"
"December host fees","OSC","http://opencollective.com/osc",2019-01-07 18:21:13,"USD","USD",-8312.41,0.00,0.00,0.00,-8312.41,"one time","2019-01-07T23:21:13.000Z"
"Host Fees","OSC","http://opencollective.com/osc",2018-12-11 22:15:29,"USD","USD",-3895.00,0.00,0.00,0.00,-3895.00,"one time","2018-12-12T03:15:29.000Z"
"Feb Host Fees","OSC","http://opencollective.com/osc",2018-12-11 22:14:41,"USD","USD",-2847.00,0.00,0.00,0.00,-2847.00,"one time","2018-12-12T03:14:41.000Z"
"March Host Fees","OSC","http://opencollective.com/osc",2018-12-11 22:14:09,"USD","USD",-4828.00,0.00,0.00,0.00,-4828.00,"one time","2018-12-12T03:14:09.000Z"
"October 2018 Host Fees","OSC","http://opencollective.com/osc",2018-12-10 23:27:16,"USD","USD",-6559.38,0.00,0.00,0.00,-6559.38,"one time","2018-12-11T04:27:16.000Z"
"September 2018 Host Fees","OSC","http://opencollective.com/osc",2018-12-10 23:26:38,"USD","USD",-6615.06,0.00,0.00,0.00,-6615.06,"one time","2018-12-11T04:26:38.000Z"
"August 2018 Host Fees","OSC","http://opencollective.com/osc",2018-12-10 23:25:56,"USD","USD",-7175.80,0.00,0.00,0.00,-7175.80,"one time","2018-12-11T04:25:56.000Z"
"July 2018 Host Fees","OSC","http://opencollective.com/osc",2018-12-10 23:25:15,"USD","USD",-5831.00,0.00,0.00,0.00,-5831.00,"one time","2018-12-11T04:25:15.000Z"
"June 2018 Host Fees","OSC","http://opencollective.com/osc",2018-12-10 23:24:42,"USD","USD",-5554.00,0.00,0.00,0.00,-5554.00,"one time","2018-12-11T04:24:42.000Z"
"May 2018 Host Fees","OSC","http://opencollective.com/osc",2018-12-10 23:23:57,"USD","USD",-6955.00,0.00,0.00,0.00,-6955.00,"one time","2018-12-11T04:23:57.000Z"
"April 2018 Host Fees","OSC","http://opencollective.com/osc",2018-12-10 23:23:27,"USD","USD",-4845.00,0.00,0.00,0.00,-4845.00,"one time","2018-12-11T04:23:27.000Z"
"November Host Fees","OSC","http://opencollective.com/osc",2018-12-10 16:55:11,"USD","USD",-6403.46,0.00,0.00,0.00,-6403.46,"one time","2018-12-10T21:55:11.000Z"
"Valor Software - November Contribution","nest","http://opencollective.com/nest",2018-11-07 16:05:08,"USD","USD",-1350.00,-75.00,-75.00,0.00,-1500.00,"one time","2018-11-07T21:05:08.000Z"
"Refunds from returned flights for Sustain UK (via Ben)","Sustain","http://opencollective.com/sustainoss",2018-11-01 10:38:03,"USD","USD",-1754.55,0.00,0.00,0.00,-1754.55,"one time","2018-11-01T14:38:03.000Z"
"Airbnb June Contribution","Yeoman","http://opencollective.com/yeoman",2018-06-01 15:22:22,"USD","USD",-19.80,-1.10,-1.10,0.00,-22.00,"one time","2018-06-01T19:22:22.000Z"
