Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"Monthly donation to react-hot-loader (backer)","mqklin","http://opencollective.com/mqklin",2019-07-01 01:08:32,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-07-01T05:08:32.000Z"
"Monthly donation to react-hot-loader","mqklin","http://opencollective.com/mqklin",2019-07-01 01:08:27,"USD","USD",35.00,-1.75,-1.75,-1.67,29.83,"month","2019-07-01T05:08:27.000Z"
"Monthly donation to react-hot-loader (backer)","mqklin","http://opencollective.com/mqklin",2019-06-01 01:07:05,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-06-01T05:07:05.000Z"
"Monthly donation to react-hot-loader","mqklin","http://opencollective.com/mqklin",2019-06-01 01:07:05,"USD","USD",35.00,-1.75,-1.75,-1.67,29.83,"month","2019-06-01T05:07:05.000Z"
"Monthly donation to react-hot-loader (backer)","Scraper API 2","http://opencollective.com/scraperapi2",2019-06-01 01:06:09,"USD","USD",5.00,-0.25,-0.25,-0.45,4.05,"month","2019-06-01T05:06:09.000Z"
"Monthly donation to react-hot-loader (backer)","mqklin","http://opencollective.com/mqklin",2019-05-01 01:10:14,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-05-01T05:10:14.000Z"
"Monthly donation to react-hot-loader","mqklin","http://opencollective.com/mqklin",2019-05-01 01:10:14,"USD","USD",35.00,-1.75,-1.75,-1.67,29.83,"month","2019-05-01T05:10:14.000Z"
"Monthly donation to react-hot-loader (backer)","Scraper API 2","http://opencollective.com/scraperapi2",2019-05-01 01:08:58,"USD","USD",5.00,-0.25,-0.25,-0.45,4.05,"month","2019-05-01T05:08:58.000Z"
"Monthly donation to react-hot-loader","mqklin","http://opencollective.com/mqklin",2019-04-01 01:13:16,"USD","USD",35.00,-1.75,-1.75,-1.67,29.83,"month","2019-04-01T05:13:16.000Z"
"Monthly donation to react-hot-loader (backer)","mqklin","http://opencollective.com/mqklin",2019-04-01 01:13:16,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-04-01T05:13:16.000Z"
"Monthly donation to react-hot-loader (backer)","Scraper API 2","http://opencollective.com/scraperapi2",2019-04-01 01:11:29,"USD","USD",5.00,-0.25,-0.25,-0.45,4.05,"month","2019-04-01T05:11:29.000Z"
"Monthly donation to react-hot-loader","mqklin","http://opencollective.com/mqklin",2019-03-01 00:12:12,"USD","USD",35.00,-1.75,-1.75,-1.67,29.83,"month","2019-03-01T05:12:12.000Z"
"Monthly donation to react-hot-loader (backer)","mqklin","http://opencollective.com/mqklin",2019-03-01 00:12:11,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-03-01T05:12:11.000Z"
"Monthly donation to react-hot-loader (backer)","Scraper API 2","http://opencollective.com/scraperapi2",2019-03-01 00:10:25,"USD","USD",5.00,-0.25,-0.25,-0.45,4.05,"month","2019-03-01T05:10:25.000Z"
"Monthly donation to react-hot-loader (backer)","mqklin","http://opencollective.com/mqklin",2019-02-01 00:14:42,"USD","USD",5.00,-0.25,-0.25,-0.50,4.00,"month","2019-02-01T05:14:42.000Z"
"Monthly donation to react-hot-loader","mqklin","http://opencollective.com/mqklin",2019-02-01 00:14:42,"USD","USD",35.00,-1.75,-1.75,-1.67,29.83,"month","2019-02-01T05:14:42.000Z"
"Monthly donation to react-hot-loader (backer)","Scraper API 2","http://opencollective.com/scraperapi2",2019-02-01 00:12:41,"USD","USD",5.00,-0.25,-0.25,-0.45,4.05,"month","2019-02-01T05:12:41.000Z"
