Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2019-07-01 01:39:44,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2019-07-01T05:39:44.000Z"
"Monthly donation to RuiJi.Net (backer)","ProxyCrawl","http://opencollective.com/proxycrawl",2019-07-01 01:19:59,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-07-01T05:19:59.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2019-06-01 01:31:38,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2019-06-01T05:31:38.000Z"
"Monthly donation to RuiJi.Net (backer)","ProxyCrawl","http://opencollective.com/proxycrawl",2019-06-01 01:17:37,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-06-01T05:17:37.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2019-05-01 01:39:28,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2019-05-01T05:39:28.000Z"
"Monthly donation to RuiJi.Net (backer)","ProxyCrawl","http://opencollective.com/proxycrawl",2019-05-01 01:25:40,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-05-01T05:25:40.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2019-04-02 23:31:45,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2019-04-03T03:31:45.000Z"
"Monthly donation to RuiJi.Net (backer)","ProxyCrawl","http://opencollective.com/proxycrawl",2019-04-01 01:27:36,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-04-01T05:27:36.000Z"
"Monthly donation to RuiJi.Net (backer)","ProxyCrawl","http://opencollective.com/proxycrawl",2019-03-01 15:39:56,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-03-01T20:39:56.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2019-03-01 00:01:37,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2019-03-01T05:01:37.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2019-02-01 00:02:32,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2019-02-01T05:02:32.000Z"
"Monthly donation to RuiJi.Net (backer)","ProxyCrawl","http://opencollective.com/proxycrawl",2019-01-31 21:21:27,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2019-02-01T02:21:27.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2019-01-01 00:01:58,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2019-01-01T05:01:58.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2018-12-01 00:02:20,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2018-12-01T05:02:20.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2018-11-01 01:02:26,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2018-11-01T05:02:26.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2018-10-01 01:02:16,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2018-10-01T05:02:16.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2018-09-01 01:01:43,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2018-09-01T05:01:43.000Z"
"Monthly donation to RuiJi.Net (backer)","Unhype","http://opencollective.com/unhype",2018-08-27 05:49:22,"USD","USD",2.00,-0.10,-0.10,-0.38,1.42,"month","2018-08-27T09:49:22.000Z"
"Monthly donation to RuiJi.Net (backer)","Scraper API","http://opencollective.com/scraperapi1",2018-08-01 19:11:18,"USD","USD",2.00,-0.10,-0.10,-0.36,1.44,"month","2018-08-01T23:11:18.000Z"
