Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2019-07-01 01:06:20,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2019-07-01T05:06:20.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2019-06-01 01:05:08,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2019-06-01T05:05:08.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2019-05-01 01:07:29,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2019-05-01T05:07:29.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2019-04-01 01:09:23,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2019-04-01T05:09:23.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2019-03-01 00:08:53,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2019-03-01T05:08:53.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2019-02-01 00:10:46,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2019-02-01T05:10:46.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2019-01-01 00:10:07,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2019-01-01T05:10:07.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2018-12-01 00:12:03,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2018-12-01T05:12:03.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2018-11-01 01:12:54,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2018-11-01T05:12:54.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2018-10-01 01:08:17,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2018-10-01T05:08:17.000Z"
"Monthly donation to git-bug (backer)","git-bug","http://opencollective.com/git-bug",2018-09-28 13:57:39,"USD","USD",-4.00,-0.25,-0.25,-0.50,-5.00,"one time","2018-09-28T17:57:39.000Z"
