Transaction Description,User Name,User Profile,Transaction Date,Collective Currency,Host Currency,Transaction Amount,Host Fee (USD),Open Collective Fee (USD),Payment Processor Fee (USD),Net Amount (USD),Subscription Interval,Order Date
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2019-07-01 01:02:04,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2019-07-01T05:02:04.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2019-06-01 01:00:57,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2019-06-01T05:00:57.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2019-05-01 01:01:49,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2019-05-01T05:01:49.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2019-04-01 01:02:14,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2019-04-01T05:02:14.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2019-03-01 00:01:56,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2019-03-01T05:01:56.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2019-02-01 00:02:47,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2019-02-01T05:02:47.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2019-01-01 00:02:21,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2019-01-01T05:02:21.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-12-01 00:02:43,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-12-01T05:02:43.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-11-01 01:02:47,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-11-01T05:02:47.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-10-01 01:12:25,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-10-01T05:12:25.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-09-01 01:10:45,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-09-01T05:10:45.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-08-01 01:01:55,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-08-01T05:01:55.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-07-01 01:01:45,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-07-01T05:01:45.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-06-01 01:01:43,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-06-01T05:01:43.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-05-01 01:03:41,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-05-01T05:03:41.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-04-02 13:19:47,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-04-02T17:19:47.000Z"
"Monthly donation to XoopsCore (Backers)","anonymous","http://opencollective.com/anonymous230",2018-03-03 13:43:17,"USD","USD",25.00,-1.25,-1.25,-1.28,21.22,"month","2018-03-03T18:43:17.000Z"
